"country","days_since_first","S","I","R"
"Denmark",-36,17315631,0,0
"Denmark",-35,17315631,0,0
"Denmark",-34,17315631,0,0
"Denmark",-33,17315631,0,0
"Denmark",-32,17315631,0,0
"Denmark",-31,17315631,0,0
"Denmark",-30,17315631,0,0
"Denmark",-29,17315631,0,0
"Denmark",-28,17315631,0,0
"Denmark",-27,17315631,0,0
"Denmark",-26,17315631,0,0
"Denmark",-25,17315631,0,0
"Denmark",-24,17315631,0,0
"Denmark",-23,17315631,0,0
"Denmark",-22,17315631,0,0
"Denmark",-21,17315631,0,0
"Denmark",-20,17315631,0,0
"Denmark",-19,17315631,0,0
"Denmark",-18,17315631,0,0
"Denmark",-17,17315631,0,0
"Denmark",-16,17315631,0,0
"Denmark",-15,17315631,0,0
"Denmark",-14,17315631,0,0
"Denmark",-13,17315631,0,0
"Denmark",-12,17315631,0,0
"Denmark",-11,17315631,0,0
"Denmark",-10,17315631,0,0
"Denmark",-9,17315631,0,0
"Denmark",-8,17315631,0,0
"Denmark",-7,17315631,0,0
"Denmark",-6,17315631,0,0
"Denmark",-5,17315631,0,0
"Denmark",-4,17315631,0,0
"Denmark",-3,17315631,0,0
"Denmark",-2,17315631,0,0
"Denmark",-1,17315631,0,0
"Denmark",0,17315630,1,0
"Denmark",1,17315630,1,0
"Denmark",2,17315628,3,0
"Denmark",3,17315627,4,0
"Denmark",4,17315627,4,0
"Denmark",5,17315625,6,0
"Denmark",6,17315620,11,0
"Denmark",7,17315620,11,0
"Denmark",8,17315607,23,1
"Denmark",9,17315607,23,1
"Denmark",10,17315594,36,1
"Denmark",11,17315539,91,1
"Denmark",12,17315367,263,1
"Denmark",13,17315187,443,1
"Denmark",14,17315014,616,1
"Denmark",15,17314827,803,1
"Denmark",16,17314796,834,1
"Denmark",17,17314758,872,1
"Denmark",18,17314701,929,1
"Denmark",19,17314610,1020,1
"Denmark",20,17314519,1111,1
"Denmark",21,17314412,1218,1
"Denmark",22,17314303,1327,1
"Denmark",23,17314224,1406,1
"Denmark",24,17314130,1500,1
"Denmark",25,17314083,1547,1
"Denmark",26,17313945,1650,36
"Denmark",27,17313803,1787,41
"Denmark",28,17313649,1932,50
"Denmark",29,17313483,2091,57
"Denmark",30,17313330,2244,57
"Denmark",31,17313139,2419,73
"Denmark",32,17312953,2605,73
"Denmark",33,17312682,2872,77
"Denmark",34,17312445,2215,971
"Denmark",35,17312181,2278,1172
"Denmark",36,17311824,2520,1287
"Denmark",37,17311523,2729,1379
"Denmark",38,17311249,2953,1429
"Denmark",39,17310943,3199,1489
"Denmark",40,17310568,3442,1621
"Denmark",41,17310252,3616,1763
"Denmark",42,17310038,3710,1883
"Denmark",43,17309864,3838,1929
"Denmark",44,17309700,3820,2111
"Denmark",45,17309535,3805,2291
"Denmark",46,17309403,3825,2403
"Denmark",47,17309224,3718,2689
"Denmark",48,17309064,3642,2925
"Denmark",49,17308878,3550,3203
"Denmark",50,17308699,3361,3571
"Denmark",51,17308540,3060,4031
"Denmark",52,17308406,2897,4328
"Denmark",53,17308284,2848,4499
"Denmark",54,17308110,2632,4889
"Denmark",55,17307907,2448,5276
"Denmark",56,17307754,2304,5573
"Denmark",57,17307626,2290,5715
"Denmark",58,17307406,2367,5858
"Denmark",59,17307280,2357,5994
"Denmark",60,17307162,2321,6148
"Denmark",61,17307016,2302,6313
"Denmark",62,17306868,2205,6558
"Denmark",63,17306727,2163,6741
"Denmark",64,17306582,2125,6924
