date_observation,country,total_confirmed,total_deaths,total_recovered,new_confirmed,new_deaths,new_recovered,active_cases,closed_cases,total_population,total_confirmed_per_mil_pop,total_deaths_per_mil_pop
2020-01-22,Afghanistan,0,0,0,0,0,0,0,0,38041757,0,0
2020-01-22,Albania,0,0,0,0,0,0,0,0,2880913,0,0
2020-01-22,Algeria,0,0,0,0,0,0,0,0,43053054,0,0
2020-01-22,Andorra,0,0,0,0,0,0,0,0,77146,0,0
2020-01-22,Angola,0,0,0,0,0,0,0,0,31825299,0,0
2020-01-22,Antigua and Barbuda,0,0,0,0,0,0,0,0,97115,0,0
2020-01-22,Argentina,0,0,0,0,0,0,0,0,44780675,0,0
2020-01-22,Armenia,0,0,0,0,0,0,0,0,2957728,0,0
2020-01-22,Australia,0,0,0,0,0,0,0,0,2016256,0,0
2020-01-22,Austria,0,0,0,0,0,0,0,0,8955108,0,0
2020-01-22,Azerbaijan,0,0,0,0,0,0,0,0,10047719,0,0
2020-01-22,Bahamas,0,0,0,0,0,0,0,0,389486,0,0
2020-01-22,Bahrain,0,0,0,0,0,0,0,0,1641164,0,0
2020-01-22,Bangladesh,0,0,0,0,0,0,0,0,163046173,0,0
2020-01-22,Barbados,0,0,0,0,0,0,0,0,287021,0,0
2020-01-22,Belarus,0,0,0,0,0,0,0,0,9452409,0,0
2020-01-22,Belgium,0,0,0,0,0,0,0,0,11539326,0,0
2020-01-22,Belize,0,0,0,0,0,0,0,0,390351,0,0
2020-01-22,Benin,0,0,0,0,0,0,0,0,11801151,0,0
2020-01-22,Bhutan,0,0,0,0,0,0,0,0,763094,0,0
2020-01-22,Bolivia,0,0,0,0,0,0,0,0,11513102,0,0
2020-01-22,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,3300998,0,0
2020-01-22,Botswana,0,0,0,0,0,0,0,0,2303703,0,0
2020-01-22,Brazil,0,0,0,0,0,0,0,0,211049519,0,0
2020-01-22,Brunei,0,0,0,0,0,0,0,0,433296,0,0
2020-01-22,Bulgaria,0,0,0,0,0,0,0,0,7000117,0,0
2020-01-22,Burkina Faso,0,0,0,0,0,0,0,0,20321383,0,0
2020-01-22,Burundi,0,0,0,0,0,0,0,0,11530577,0,0
2020-01-22,Cabo Verde,0,0,0,0,0,0,0,0,549936,0,0
2020-01-22,Cambodia,0,0,0,0,0,0,0,0,16486542,0,0
2020-01-22,Cameroon,0,0,0,0,0,0,0,0,25876387,0,0
2020-01-22,Canada,0,0,0,0,0,0,0,0,37411038,0,0
