country,year,total_population,population_density
Afghanistan,2019,38041.757,58.269
Africa,2019,1308064.176,44.119
African Group,2019,1306320.572,44.464
African Union,2019,1306903.03,44.085
African Union: Central Africa,2019,154013.705,29.192
African Union: Eastern Africa,2019,382531.219,59.835
African Union: Northern Africa,2019,203493.226,28.925
African Union: Southern Africa,2019,179956.492,30.458
African Union: Western Africa,2019,386908.388,76.875
"African, Caribbean and Pacific (ACP) Group of States",2019,1150190.575,47.628
Albania,2019,2880.913,105.143
Algeria,2019,43053.054,18.076
American Samoa,2019,55.312,276.56
Andean Community,2019,111736.664,30.027
Andorra,2019,77.146,164.14
Angola,2019,31825.299,25.528
Anguilla,2019,14.872,165.244
Antigua and Barbuda,2019,97.115,220.716
Argentina,2019,44780.675,16.363
Armenia,2019,2957.728,103.889
Aruba,2019,106.31,590.611
Asia,2019,4601371.266,148.273
Asia-Pacific Economic Cooperation (APEC),2019,2956245.278,49.16
Asia-Pacific Group,2019,4582136.259,146.198
Association of Southeast Asian Nations (ASEAN),2019,660718.726,152.738
Australia,2019,25203.2,3.281
Australia/New Zealand,2019,29986.262,3.774
Austria,2019,8955.108,108.667
Azerbaijan,2019,10047.719,121.558
BRIC,2019,3157123.227,85.106
BRICS,2019,3215681.494,83.94
Bahamas,2019,389.486,38.91
Bahrain,2019,1641.164,2159.426
Bangladesh,2019,163046.173,1252.563
Barbados,2019,287.021,667.491
Belarus,2019,9452.409,46.584
Belgium,2019,11539.326,381.087
Belize,2019,390.351,17.113
Belt-Road Initiative (BRI),2019,3353564.722,49.727
Belt-Road Initiative: Africa,2019,1164118.622,48.048
Belt-Road Initiative: Asia,2019,1552928.523,90.467
Belt-Road Initiative: Europe,2019,414572.416,21.705
Belt-Road Initiative: Latin America and the Caribbean,2019,206761.581,33.384
Belt-Road Initiative: Pacific,2019,15183.58,20.208
Benin,2019,11801.151,104.657
Bermuda,2019,62.508,1250.16
Bhutan,2019,763.094,20.02
Black Sea Economic Cooperation (BSEC),2019,342832.245,18.51
Bolivarian Alliance for the Americas (ALBA),2019,58535.065,26.668
Bolivia (Plurinational State of),2019,11513.102,10.628
"Bonaire, Sint Eustatius and Saba",2019,25.983,79.216
Bosnia and Herzegovina,2019,3300.998,64.725
Botswana,2019,2303.703,4.065
Brazil,2019,211049.519,25.251
British Virgin Islands,2019,30.033,200.22
Brunei Darussalam,2019,433.296,82.219
Bulgaria,2019,7000.117,64.482
Burkina Faso,2019,20321.383,74.274
Burundi,2019,11530.577,449.01
Cabo Verde,2019,549.936,136.461
Cambodia,2019,16486.542,93.398
Cameroon,2019,25876.387,54.741
Canada,2019,37411.038,4.114
Caribbean,2019,43335.006,191.74
